run_id,display_label,latex_label,intervention_group,reference_label,category,mean,std,n_seeds
Base-min,Base-min,Base-min,baseline,Zero-shot CLIP,add_att,86.46435452793835,0.4171605991254544,3
Base-min,Base-min,Base-min,baseline,Zero-shot CLIP,add_obj,94.60071128354348,0.15589477466849644,3
Base-min,Base-min,Base-min,baseline,Zero-shot CLIP,replace_att,86.54822335025382,0.25380710659898414,3
Base-min,Base-min,Base-min,baseline,Zero-shot CLIP,replace_obj,97.49798224374496,0.09246520772711153,3
Base-min,Base-min,Base-min,baseline,Zero-shot CLIP,replace_rel,80.51209103840682,0.21337126600284584,3
Base-min,Base-min,Base-min,baseline,Zero-shot CLIP,swap_att,69.71971971971972,0.08668922960805717,3
Base-min,Base-min,Base-min,baseline,Zero-shot CLIP,swap_obj,71.42857142857143,0.0,3
Base-min,Base-min,Base-min,baseline,Zero-shot CLIP,overall,83.8245219417398,0.12009142100522256,3
Loss-SigLIP,Loss-SigLIP,Loss-SigLIP,loss_function,Base-min,add_att,87.13872832369943,0.14450867052022698,3
Loss-SigLIP,Loss-SigLIP,Loss-SigLIP,loss_function,Base-min,add_obj,93.72777238926608,0.12204711340560143,3
Loss-SigLIP,Loss-SigLIP,Loss-SigLIP,loss_function,Base-min,replace_att,85.32148900169206,0.387696759302523,3
Loss-SigLIP,Loss-SigLIP,Loss-SigLIP,loss_function,Base-min,replace_obj,97.03389830508475,0.1048456905308064,3
Loss-SigLIP,Loss-SigLIP,Loss-SigLIP,loss_function,Base-min,replace_rel,79.25557136083454,0.35798171812568347,3
Loss-SigLIP,Loss-SigLIP,Loss-SigLIP,loss_function,Base-min,swap_att,69.01901901901901,0.3778695913548918,3
Loss-SigLIP,Loss-SigLIP,Loss-SigLIP,loss_function,Base-min,swap_obj,68.02721088435374,0.4713063421956129,3
Loss-SigLIP,Loss-SigLIP,Loss-SigLIP,loss_function,Base-min,overall,82.78909846913565,0.18614024255875522,3
HN-Syntactic,HN-Syntactic,HN-Syntactic,hard_negatives,Base-min,add_att,88.4393063583815,,1
HN-Syntactic,HN-Syntactic,HN-Syntactic,hard_negatives,Base-min,add_obj,93.25897187196897,,1
HN-Syntactic,HN-Syntactic,HN-Syntactic,hard_negatives,Base-min,replace_att,86.80203045685279,,1
HN-Syntactic,HN-Syntactic,HN-Syntactic,hard_negatives,Base-min,replace_obj,97.45762711864407,,1
HN-Syntactic,HN-Syntactic,HN-Syntactic,hard_negatives,Base-min,replace_rel,80.15647226173542,,1
HN-Syntactic,HN-Syntactic,HN-Syntactic,hard_negatives,Base-min,swap_att,70.12012012012012,,1
HN-Syntactic,HN-Syntactic,HN-Syntactic,hard_negatives,Base-min,swap_obj,70.20408163265306,,1
HN-Syntactic,HN-Syntactic,HN-Syntactic,hard_negatives,Base-min,overall,83.77694426005084,,1
Aux-ObjCls,Aux-ObjCls,Aux-ObjCls,auxiliary_object_classification,Base-min,add_att,88.29479768786128,,1
Aux-ObjCls,Aux-ObjCls,Aux-ObjCls,auxiliary_object_classification,Base-min,add_obj,94.56838021338505,,1
Aux-ObjCls,Aux-ObjCls,Aux-ObjCls,auxiliary_object_classification,Base-min,replace_att,85.91370558375635,,1
Aux-ObjCls,Aux-ObjCls,Aux-ObjCls,auxiliary_object_classification,Base-min,replace_obj,97.76029055690071,,1
Aux-ObjCls,Aux-ObjCls,Aux-ObjCls,auxiliary_object_classification,Base-min,replace_rel,80.15647226173542,,1
Aux-ObjCls,Aux-ObjCls,Aux-ObjCls,auxiliary_object_classification,Base-min,swap_att,68.61861861861863,,1
Aux-ObjCls,Aux-ObjCls,Aux-ObjCls,auxiliary_object_classification,Base-min,swap_obj,69.38775510204081,,1
Aux-ObjCls,Aux-ObjCls,Aux-ObjCls,auxiliary_object_classification,Base-min,overall,83.52857428918547,,1
