config,n_seeds,i2t_x_mean,i2t_x_std,i2t_y_mean,i2t_y_std,t2i_x_mean,t2i_x_std,t2i_y_mean,t2i_y_std
B0,3,82.83333333333333,0.09451631252505331,32.89444029530696,0.0048272743560009695,72.04799999999999,0.05919459434779566,46.734347826890726,0.01671426117717795
B0plus,1,82.06,,32.52252378142203,,72.084,,46.84083972829215,
B0_uf5,3,82.83333333333333,0.09451631252505273,32.90249695434993,0.06211444618525874,72.248,0.058923679450625835,46.65393839859348,0.04933094643779339
B0_uf6,1,82.74,,33.140237016336236,,72.46000000000001,,46.59407491380561,
B0_uf7,1,82.89999999999999,,33.17494593091404,,72.68,,46.5458899279858,
B1,3,81.50666666666666,0.07023769168569273,32.07459110770573,0.03014294668653809,70.65866666666666,0.059374517541896474,46.12945723614191,0.08476574901425708
B2,1,82.66,,32.2254509375487,,71.30400000000002,,46.44501817680174,
B4,1,81.84000000000002,,32.578059279657786,,72.00800000000001,,47.02580901573809,
B5a_seg_spatial,1,82.08,,32.39932296546858,,71.756,,46.95961167276686,
B5b_seg_semantic,1,83.33999999999999,,32.733916807024684,,71.852,,46.576089246971804,
B5c_seg_continuous,1,83.06000000000002,,32.77864588130718,,72.20400000000001,,46.93370894096253,
