depth,sweep_label,direction,cutoff,metric,source_col,metric_source,seed,run_ids,value
0,Unfreeze-0 / Proj-only,i2t,1,R@1,summary/test/r1_i2t,summary_test,42.0,B0_projonly,89.4
0,Unfreeze-0 / Proj-only,i2t,1,R@1,summary/test/r1_i2t,summary_test,123.0,B0_projonly,89.2
0,Unfreeze-0 / Proj-only,i2t,1,R@1,summary/test/r1_i2t,summary_test,456.0,B0_projonly,88.5
1,Unfreeze-1,i2t,1,R@1,summary/test/r1_i2t,val_log_max,42.0,B0_uf1,90.63
1,Unfreeze-1,i2t,1,R@1,summary/test/r1_i2t,val_log_max,123.0,B0_uf1,90.73
1,Unfreeze-1,i2t,1,R@1,summary/test/r1_i2t,val_log_max,456.0,B0_uf1,90.63
2,Unfreeze-2,i2t,1,R@1,summary/test/r1_i2t,val_log_max,42.0,B0_uf2,90.63
2,Unfreeze-2,i2t,1,R@1,summary/test/r1_i2t,val_log_max,123.0,B0_uf2,90.73
2,Unfreeze-2,i2t,1,R@1,summary/test/r1_i2t,val_log_max,456.0,B0_uf2,90.63
3,Unfreeze-3,i2t,1,R@1,summary/test/r1_i2t,val_log_max,42.0,B0_uf3,90.63
4,Unfreeze-4 / Base-min,i2t,1,R@1,summary/test/r1_i2t,summary_test,42.0,B0,91.7
4,Unfreeze-4 / Base-min,i2t,1,R@1,summary/test/r1_i2t,summary_test,123.0,B0,91.4
4,Unfreeze-4 / Base-min,i2t,1,R@1,summary/test/r1_i2t,summary_test,456.0,B0,91.6
5,Unfreeze-5,i2t,1,R@1,summary/test/r1_i2t,summary_test,42.0,B0_uf5,91.9
5,Unfreeze-5,i2t,1,R@1,summary/test/r1_i2t,summary_test,123.0,B0_uf5,92.0
5,Unfreeze-5,i2t,1,R@1,summary/test/r1_i2t,summary_test,456.0,B0_uf5,92.1
6,Unfreeze-6,i2t,1,R@1,summary/test/r1_i2t,summary_test,42.0,B0_uf6,92.1
6,Unfreeze-6,i2t,1,R@1,summary/test/r1_i2t,summary_test,123.0,B0_uf6,92.6
7,Unfreeze-7,i2t,1,R@1,summary/test/r1_i2t,summary_test,42.0,B0_uf7,91.3
0,Unfreeze-0 / Proj-only,i2t,5,R@5,summary/test/r5_i2t,summary_test,42.0,B0_projonly,99.1
0,Unfreeze-0 / Proj-only,i2t,5,R@5,summary/test/r5_i2t,summary_test,123.0,B0_projonly,99.1
0,Unfreeze-0 / Proj-only,i2t,5,R@5,summary/test/r5_i2t,summary_test,456.0,B0_projonly,98.3
1,Unfreeze-1,i2t,5,R@5,summary/test/r5_i2t,val_log_max,42.0,B0_uf1,99.51
1,Unfreeze-1,i2t,5,R@5,summary/test/r5_i2t,val_log_max,123.0,B0_uf1,99.61
1,Unfreeze-1,i2t,5,R@5,summary/test/r5_i2t,val_log_max,456.0,B0_uf1,99.51
2,Unfreeze-2,i2t,5,R@5,summary/test/r5_i2t,val_log_max,42.0,B0_uf2,99.51
2,Unfreeze-2,i2t,5,R@5,summary/test/r5_i2t,val_log_max,123.0,B0_uf2,99.61
2,Unfreeze-2,i2t,5,R@5,summary/test/r5_i2t,val_log_max,456.0,B0_uf2,99.51
3,Unfreeze-3,i2t,5,R@5,summary/test/r5_i2t,val_log_max,42.0,B0_uf3,99.51
4,Unfreeze-4 / Base-min,i2t,5,R@5,summary/test/r5_i2t,summary_test,42.0,B0,99.7
4,Unfreeze-4 / Base-min,i2t,5,R@5,summary/test/r5_i2t,summary_test,123.0,B0,99.7
4,Unfreeze-4 / Base-min,i2t,5,R@5,summary/test/r5_i2t,summary_test,456.0,B0,99.7
5,Unfreeze-5,i2t,5,R@5,summary/test/r5_i2t,summary_test,42.0,B0_uf5,99.7
5,Unfreeze-5,i2t,5,R@5,summary/test/r5_i2t,summary_test,123.0,B0_uf5,99.5
5,Unfreeze-5,i2t,5,R@5,summary/test/r5_i2t,summary_test,456.0,B0_uf5,99.6
6,Unfreeze-6,i2t,5,R@5,summary/test/r5_i2t,summary_test,42.0,B0_uf6,99.7
6,Unfreeze-6,i2t,5,R@5,summary/test/r5_i2t,summary_test,123.0,B0_uf6,99.6
7,Unfreeze-7,i2t,5,R@5,summary/test/r5_i2t,summary_test,42.0,B0_uf7,99.5
