depth,sweep_label,direction,cutoff,metric,source_col,metric_source,seed,run_ids,value
0,Unfreeze-0 / Proj-only,i2t,1,R@1,summary/test/coco_5k_r1_i2t,summary_test,42.0,B0_projonly,61.12
0,Unfreeze-0 / Proj-only,i2t,1,R@1,summary/test/coco_5k_r1_i2t,summary_test,456.0,B0_projonly,60.919999999999995
1,Unfreeze-1,i2t,1,R@1,summary/test/coco_5k_r1_i2t,summary_test,456.0,B0_uf1,60.940000000000005
2,Unfreeze-2,i2t,1,R@1,summary/test/coco_5k_r1_i2t,summary_test,123.0,B0_uf2,61.12
2,Unfreeze-2,i2t,1,R@1,summary/test/coco_5k_r1_i2t,summary_test,456.0,B0_uf2,60.84
3,Unfreeze-3,i2t,1,R@1,summary/test/coco_5k_r1_i2t,summary_test,42.0,B0_uf3,61.1
3,Unfreeze-3,i2t,1,R@1,summary/test/coco_5k_r1_i2t,summary_test,123.0,B0_uf3,60.88
3,Unfreeze-3,i2t,1,R@1,summary/test/coco_5k_r1_i2t,summary_test,456.0,B0_uf3,60.940000000000005
4,Unfreeze-4 / Base-min,i2t,1,R@1,summary/test/coco_5k_r1_i2t,summary_test,42.0,B0,66.02
4,Unfreeze-4 / Base-min,i2t,1,R@1,summary/test/coco_5k_r1_i2t,summary_test,123.0,B0,65.94
4,Unfreeze-4 / Base-min,i2t,1,R@1,summary/test/coco_5k_r1_i2t,summary_test,456.0,B0,66.08000000000001
5,Unfreeze-5,i2t,1,R@1,summary/test/coco_5k_r1_i2t,summary_test,42.0,B0_uf5,66.32000000000001
5,Unfreeze-5,i2t,1,R@1,summary/test/coco_5k_r1_i2t,summary_test,123.0,B0_uf5,65.9
5,Unfreeze-5,i2t,1,R@1,summary/test/coco_5k_r1_i2t,summary_test,456.0,B0_uf5,66.18
6,Unfreeze-6,i2t,1,R@1,summary/test/coco_5k_r1_i2t,summary_test,42.0,B0_uf6,66.25999999999999
7,Unfreeze-7,i2t,1,R@1,summary/test/coco_5k_r1_i2t,summary_test,42.0,B0_uf7,66.75999999999999
0,Unfreeze-0 / Proj-only,i2t,5,R@5,summary/test/coco_5k_r5_i2t,summary_test,42.0,B0_projonly,84.94
0,Unfreeze-0 / Proj-only,i2t,5,R@5,summary/test/coco_5k_r5_i2t,summary_test,456.0,B0_projonly,85.1
1,Unfreeze-1,i2t,5,R@5,summary/test/coco_5k_r5_i2t,summary_test,456.0,B0_uf1,85.06
2,Unfreeze-2,i2t,5,R@5,summary/test/coco_5k_r5_i2t,summary_test,123.0,B0_uf2,85.26
2,Unfreeze-2,i2t,5,R@5,summary/test/coco_5k_r5_i2t,summary_test,456.0,B0_uf2,84.82
3,Unfreeze-3,i2t,5,R@5,summary/test/coco_5k_r5_i2t,summary_test,42.0,B0_uf3,85.04
3,Unfreeze-3,i2t,5,R@5,summary/test/coco_5k_r5_i2t,summary_test,123.0,B0_uf3,85.16
3,Unfreeze-3,i2t,5,R@5,summary/test/coco_5k_r5_i2t,summary_test,456.0,B0_uf3,85.06
4,Unfreeze-4 / Base-min,i2t,5,R@5,summary/test/coco_5k_r5_i2t,summary_test,42.0,B0,88.06
4,Unfreeze-4 / Base-min,i2t,5,R@5,summary/test/coco_5k_r5_i2t,summary_test,123.0,B0,88.24
4,Unfreeze-4 / Base-min,i2t,5,R@5,summary/test/coco_5k_r5_i2t,summary_test,456.0,B0,88.16000000000001
