panel,reference,thesis_label,dataset_group,metric,source_col,reference_dataset,mean,std,delta,n_seeds
basemin,Base-min,Loss-SigLIP,Flickr30K,I2T R@10,summary/test/r10_i2t,flickr30k,99.73333333333333,0.1154700538379268,-0.06666666666666288,3
basemin,Base-min,Loss-SigLIP,Flickr30K,T2I R@10,summary/test/r10_t2i,flickr30k,97.56,0.2615339366124373,-0.3999999999999915,3
basemin,Base-min,Loss-SigLIP,COCO 5K,I2T R@10,summary/test/coco_5k_r10_i2t,coco,92.35333333333335,0.041633319989322334,-1.1533333333333076,3
basemin,Base-min,Loss-SigLIP,COCO 5K,T2I R@10,summary/test/coco_5k_r10_t2i,coco,85.77866666666667,0.08326663997864467,-0.9746666666666641,3
basemin,Base-min,Loss-SigLIP,CxC,I2T R@10,summary/test/cxc_r10_i2t,coco,93.72666666666667,0.1301281419729498,-0.9399999999999977,3
basemin,Base-min,Loss-SigLIP,CxC,T2I R@10,summary/test/cxc_r10_t2i,coco,87.55806503283678,0.05205830530194023,-0.8569597949703649,3
basemin,Base-min,HN-Syntactic,Flickr30K,I2T R@10,summary/test/r10_i2t,flickr30k,99.8,0.0,0.0,3
basemin,Base-min,HN-Syntactic,Flickr30K,T2I R@10,summary/test/r10_t2i,flickr30k,97.93333333333332,0.04618802153516908,-0.026666666666670835,3
basemin,Base-min,HN-Syntactic,COCO 5K,I2T R@10,summary/test/coco_5k_r10_i2t,coco,92.7,,-0.8066666666666578,1
basemin,Base-min,HN-Syntactic,COCO 5K,T2I R@10,summary/test/coco_5k_r10_t2i,coco,86.21600000000001,,-0.5373333333333221,1
basemin,Base-min,HN-Syntactic,CxC,I2T R@10,summary/test/cxc_r10_i2t,coco,93.89999999999999,,-0.7666666666666799,1
basemin,Base-min,HN-Syntactic,CxC,T2I R@10,summary/test/cxc_r10_t2i,coco,88.03459875060067,,-0.38042607720647936,1
basemin,Base-min,Aux-ObjCls,Flickr30K,I2T R@10,summary/test/r10_i2t,flickr30k,,,,0
basemin,Base-min,Aux-ObjCls,Flickr30K,T2I R@10,summary/test/r10_t2i,flickr30k,,,,0
basemin,Base-min,Aux-ObjCls,COCO 5K,I2T R@10,summary/test/coco_5k_r10_i2t,coco,93.02,,-0.4866666666666646,1
basemin,Base-min,Aux-ObjCls,COCO 5K,T2I R@10,summary/test/coco_5k_r10_t2i,coco,86.792,,0.03866666666667129,1
basemin,Base-min,Aux-ObjCls,CxC,I2T R@10,summary/test/cxc_r10_i2t,coco,94.14,,-0.5266666666666708,1
basemin,Base-min,Aux-ObjCls,CxC,T2I R@10,summary/test/cxc_r10_t2i,coco,88.51914143841103,,0.10411661060388155,1
