panel,reference,thesis_label,dataset_group,metric,source_col,reference_dataset,mean,std,delta,n_seeds
intrareg,Intra-Reg,Seg-Spatial,Flickr30K,I2T R@10,summary/test/r10_i2t,flickr30k,99.75,0.04999999999999716,-0.04999999999999716,3
intrareg,Intra-Reg,Seg-Spatial,Flickr30K,T2I R@10,summary/test/r10_t2i,flickr30k,97.93666666666667,0.07234178138069844,-0.06999999999999318,3
intrareg,Intra-Reg,Seg-Spatial,COCO 5K,I2T R@10,summary/test/coco_5k_r10_i2t,coco,93.05333333333333,0.08326663997865036,-0.10666666666666913,3
intrareg,Intra-Reg,Seg-Spatial,COCO 5K,T2I R@10,summary/test/coco_5k_r10_t2i,coco,86.54933333333334,0.13984753602881875,-0.15066666666666606,3
intrareg,Intra-Reg,Seg-Spatial,CxC,I2T R@10,summary/test/cxc_r10_i2t,coco,94.27999999999999,0.09165151389912028,-0.040000000000020464,3
intrareg,Intra-Reg,Seg-Spatial,CxC,T2I R@10,summary/test/cxc_r10_t2i,coco,88.24817128517272,0.10672785256896185,-0.21490736291313794,3
intrareg,Intra-Reg,Seg-Semantic,Flickr30K,I2T R@10,summary/test/r10_i2t,flickr30k,99.76666666666667,0.0577350269189675,-0.03333333333333144,3
intrareg,Intra-Reg,Seg-Semantic,Flickr30K,T2I R@10,summary/test/r10_t2i,flickr30k,98.25333333333333,0.01527525231652108,0.2466666666666697,3
intrareg,Intra-Reg,Seg-Semantic,COCO 5K,I2T R@10,summary/test/coco_5k_r10_i2t,coco,93.50999999999999,0.04242640687120451,0.3499999999999943,2
intrareg,Intra-Reg,Seg-Semantic,COCO 5K,T2I R@10,summary/test/coco_5k_r10_t2i,coco,86.68,0.06788225099391114,-0.01999999999999602,2
intrareg,Intra-Reg,Seg-Semantic,CxC,I2T R@10,summary/test/cxc_r10_i2t,coco,94.65,0.04242640687118441,0.3299999999999983,2
intrareg,Intra-Reg,Seg-Semantic,CxC,T2I R@10,summary/test/cxc_r10_t2i,coco,88.33293288483102,0.07645315990725017,-0.13014576325483063,2
intrareg,Intra-Reg,Seg-Geom,Flickr30K,I2T R@10,summary/test/r10_i2t,flickr30k,99.73333333333333,0.028867513459479646,-0.06666666666666288,3
intrareg,Intra-Reg,Seg-Geom,Flickr30K,T2I R@10,summary/test/r10_t2i,flickr30k,98.05333333333334,0.055075705472860816,0.04666666666668107,3
intrareg,Intra-Reg,Seg-Geom,COCO 5K,I2T R@10,summary/test/coco_5k_r10_i2t,coco,93.35999999999999,0.16970562748476778,0.19999999999998863,2
intrareg,Intra-Reg,Seg-Geom,COCO 5K,T2I R@10,summary/test/coco_5k_r10_t2i,coco,86.852,0.056568542494922595,0.15200000000000102,2
intrareg,Intra-Reg,Seg-Geom,CxC,I2T R@10,summary/test/cxc_r10_i2t,coco,94.43,0.09899494936611705,0.10999999999999943,2
intrareg,Intra-Reg,Seg-Geom,CxC,T2I R@10,summary/test/cxc_r10_t2i,coco,88.5151369533878,0.02265278812067044,0.05205830530194078,2
intrareg,Intra-Reg,Sam-Gate,Flickr30K,I2T R@10,summary/test/r10_i2t,flickr30k,99.63333333333333,0.11547005383792679,-0.1666666666666714,3
intrareg,Intra-Reg,Sam-Gate,Flickr30K,T2I R@10,summary/test/r10_t2i,flickr30k,97.18,0.5758472019555199,-0.8266666666666538,3
intrareg,Intra-Reg,Sam-Gate,COCO 5K,I2T R@10,summary/test/coco_5k_r10_i2t,coco,91.61,2.3617366491630714,-1.5499999999999972,2
intrareg,Intra-Reg,Sam-Gate,COCO 5K,T2I R@10,summary/test/coco_5k_r10_t2i,coco,84.424,3.020760169228935,-2.2759999999999962,2
intrareg,Intra-Reg,Sam-Gate,CxC,I2T R@10,summary/test/cxc_r10_i2t,coco,93.06,1.8384776310850295,-1.2600000000000051,2
intrareg,Intra-Reg,Sam-Gate,CxC,T2I R@10,summary/test/cxc_r10_t2i,coco,86.34871055582252,2.707008180419424,-2.1143680922633337,2
intrareg,Intra-Reg,Sam-XAttn,Flickr30K,I2T R@10,summary/test/r10_i2t,flickr30k,99.56666666666666,0.1154700538379268,-0.23333333333333428,3
intrareg,Intra-Reg,Sam-XAttn,Flickr30K,T2I R@10,summary/test/r10_t2i,flickr30k,97.28666666666668,0.6561503892655519,-0.7199999999999847,3
intrareg,Intra-Reg,Sam-XAttn,COCO 5K,I2T R@10,summary/test/coco_5k_r10_i2t,coco,92.09,1.7394826817189124,-1.0699999999999932,2
intrareg,Intra-Reg,Sam-XAttn,COCO 5K,T2I R@10,summary/test/coco_5k_r10_t2i,coco,84.938,2.684177341384129,-1.7620000000000005,2
intrareg,Intra-Reg,Sam-XAttn,CxC,I2T R@10,summary/test/cxc_r10_i2t,coco,93.53999999999999,1.3576450198781724,-0.7800000000000153,2
intrareg,Intra-Reg,Sam-XAttn,CxC,T2I R@10,summary/test/cxc_r10_t2i,coco,86.76918148326125,2.361553161579295,-1.6938971648246053,2
intrareg,Intra-Reg,Sam-Concat,Flickr30K,I2T R@10,summary/test/r10_i2t,flickr30k,99.53333333333335,0.05773502691895929,-0.2666666666666515,3
intrareg,Intra-Reg,Sam-Concat,Flickr30K,T2I R@10,summary/test/r10_t2i,flickr30k,96.93333333333332,0.4691836882643396,-1.0733333333333377,3
intrareg,Intra-Reg,Sam-Concat,COCO 5K,I2T R@10,summary/test/coco_5k_r10_i2t,coco,90.79,1.5697770542341347,-2.3699999999999903,2
intrareg,Intra-Reg,Sam-Concat,COCO 5K,T2I R@10,summary/test/coco_5k_r10_t2i,coco,84.06,1.934644153326397,-2.6400000000000006,2
intrareg,Intra-Reg,Sam-Concat,CxC,I2T R@10,summary/test/cxc_r10_i2t,coco,92.28999999999999,1.400071426749367,-2.0300000000000153,2
intrareg,Intra-Reg,Sam-Concat,CxC,T2I R@10,summary/test/cxc_r10_t2i,coco,85.99030914624379,1.758422677866593,-2.472769501842066,2
intrareg,Intra-Reg,Sam-Skip,Flickr30K,I2T R@10,summary/test/r10_i2t,flickr30k,99.55,0.07071067811865074,-0.25,2
intrareg,Intra-Reg,Sam-Skip,Flickr30K,T2I R@10,summary/test/r10_t2i,flickr30k,97.6,0.650538238691625,-0.4066666666666663,2
intrareg,Intra-Reg,Sam-Skip,COCO 5K,I2T R@10,summary/test/coco_5k_r10_i2t,coco,92.13,1.8243354954612914,-1.0300000000000011,2
intrareg,Intra-Reg,Sam-Skip,COCO 5K,T2I R@10,summary/test/coco_5k_r10_t2i,coco,85.102,2.5257854223983496,-1.597999999999999,2
intrareg,Intra-Reg,Sam-Skip,CxC,I2T R@10,summary/test/cxc_r10_i2t,coco,93.47,1.5132085117392122,-0.8500000000000085,2
intrareg,Intra-Reg,Sam-Skip,CxC,T2I R@10,summary/test/cxc_r10_t2i,coco,86.95138555181803,2.239794425430714,-1.5116930962678197,2
intrareg,Intra-Reg,Text-BLIP,Flickr30K,I2T R@10,summary/test/r10_i2t,flickr30k,99.8,,0.0,1
intrareg,Intra-Reg,Text-BLIP,Flickr30K,T2I R@10,summary/test/r10_t2i,flickr30k,98.22,,0.21333333333333826,1
intrareg,Intra-Reg,Text-BLIP,COCO 5K,I2T R@10,summary/test/coco_5k_r10_i2t,coco,,,,0
intrareg,Intra-Reg,Text-BLIP,COCO 5K,T2I R@10,summary/test/coco_5k_r10_t2i,coco,,,,0
intrareg,Intra-Reg,Text-BLIP,CxC,I2T R@10,summary/test/cxc_r10_i2t,coco,,,,0
intrareg,Intra-Reg,Text-BLIP,CxC,T2I R@10,summary/test/cxc_r10_t2i,coco,,,,0
