panel,reference,thesis_label,dataset_group,metric,source_col,reference_dataset,mean,std,delta,n_seeds
intrareg,Intra-Reg,Seg-Spatial,ECCV,I2T mAP@R,summary/test/eccv_map_at_r_i2t,coco,32.56361533751431,0.15294198917772234,0.041091556092275994,3
intrareg,Intra-Reg,Seg-Spatial,ECCV,T2I mAP@R,summary/test/eccv_map_at_r_t2i,coco,46.69861323449413,0.2582186284317599,-0.14222649379802021,3
intrareg,Intra-Reg,Seg-Semantic,ECCV,I2T mAP@R,summary/test/eccv_map_at_r_i2t,coco,32.66498922372081,0.09747832312994627,0.14246544229877856,2
intrareg,Intra-Reg,Seg-Semantic,ECCV,T2I mAP@R,summary/test/eccv_map_at_r_t2i,coco,46.52570605706255,0.07125259048529216,-0.3151336712296029,2
intrareg,Intra-Reg,Seg-Geom,ECCV,I2T mAP@R,summary/test/eccv_map_at_r_i2t,coco,32.871363920971376,0.13112310916975634,0.34884013954934545,2
intrareg,Intra-Reg,Seg-Geom,ECCV,T2I mAP@R,summary/test/eccv_map_at_r_t2i,coco,46.82492464621798,0.1538442250009431,-0.015915082074172915,2
intrareg,Intra-Reg,Sam-Gate,ECCV,I2T mAP@R,summary/test/eccv_map_at_r_i2t,coco,30.545658944222485,2.5066629165236267,-1.976864837199546,2
intrareg,Intra-Reg,Sam-Gate,ECCV,T2I mAP@R,summary/test/eccv_map_at_r_t2i,coco,44.89326534862448,2.270076573738236,-1.947574379667671,2
intrareg,Intra-Reg,Sam-XAttn,ECCV,I2T mAP@R,summary/test/eccv_map_at_r_i2t,coco,30.991400987532845,2.2280876650204102,-1.5311227938891854,2
intrareg,Intra-Reg,Sam-XAttn,ECCV,T2I mAP@R,summary/test/eccv_map_at_r_t2i,coco,45.27511854671912,1.585561803885228,-1.565721181573032,2
intrareg,Intra-Reg,Sam-Concat,ECCV,I2T mAP@R,summary/test/eccv_map_at_r_i2t,coco,29.877886102045768,1.504351705115996,-2.644637679376263,2
intrareg,Intra-Reg,Sam-Concat,ECCV,T2I mAP@R,summary/test/eccv_map_at_r_t2i,coco,43.992408213063385,1.4045942641974105,-2.848431515228768,2
intrareg,Intra-Reg,Sam-Skip,ECCV,I2T mAP@R,summary/test/eccv_map_at_r_i2t,coco,31.249034228108705,2.0085140211349333,-1.2734895533133255,2
intrareg,Intra-Reg,Sam-Skip,ECCV,T2I mAP@R,summary/test/eccv_map_at_r_t2i,coco,45.485247748212096,1.5500302273543716,-1.3555919800800567,2
intrareg,Intra-Reg,Text-BLIP,ECCV,I2T mAP@R,summary/test/eccv_map_at_r_i2t,coco,,,,0
intrareg,Intra-Reg,Text-BLIP,ECCV,T2I mAP@R,summary/test/eccv_map_at_r_t2i,coco,,,,0
