dataset,dataset_label,run_id,config_order,direction,direction_label,k,metric,metric_label,source_col,mean,std,n_seeds
flickr30k,Flickr30K,B0,0,i2t,I2T,1,R@1,R@1 I2T,summary/test/r1_i2t,91.56666666666668,0.1527525231651922,3
flickr30k,Flickr30K,B0,0,i2t,I2T,5,R@5,R@5 I2T,summary/test/r5_i2t,99.7,0.0,3
flickr30k,Flickr30K,B0,0,i2t,I2T,10,R@10,R@10 I2T,summary/test/r10_i2t,99.8,0.0,3
flickr30k,Flickr30K,B0,0,t2i,T2I,1,R@1,R@1 T2I,summary/test/r1_t2i,81.26,0.10000000000000142,3
flickr30k,Flickr30K,B0,0,t2i,T2I,5,R@5,R@5 T2I,summary/test/r5_t2i,95.96666666666665,0.06110100926607346,3
flickr30k,Flickr30K,B0,0,t2i,T2I,10,R@10,R@10 T2I,summary/test/r10_t2i,97.96,0.020000000000003126,3
flickr30k,Flickr30K,B0plus,1,i2t,I2T,1,R@1,R@1 I2T,summary/test/r1_i2t,91.86666666666667,0.15275252316519375,3
flickr30k,Flickr30K,B0plus,1,i2t,I2T,5,R@5,R@5 I2T,summary/test/r5_i2t,99.46666666666665,0.05773502691895929,3
flickr30k,Flickr30K,B0plus,1,i2t,I2T,10,R@10,R@10 I2T,summary/test/r10_i2t,99.8,0.0,3
flickr30k,Flickr30K,B0plus,1,t2i,T2I,1,R@1,R@1 T2I,summary/test/r1_t2i,81.55333333333333,0.041633319989314375,3
flickr30k,Flickr30K,B0plus,1,t2i,T2I,5,R@5,R@5 T2I,summary/test/r5_t2i,96.21333333333332,0.050332229568475766,3
flickr30k,Flickr30K,B0plus,1,t2i,T2I,10,R@10,R@10 T2I,summary/test/r10_t2i,98.00666666666666,0.06429100507328683,3
flickr30k,Flickr30K,B0_uf5,2,i2t,I2T,1,R@1,R@1 I2T,summary/test/r1_i2t,92.0,0.09999999999999432,3
flickr30k,Flickr30K,B0_uf5,2,i2t,I2T,5,R@5,R@5 I2T,summary/test/r5_i2t,99.60000000000001,0.10000000000000142,3
