checkpoint_path,dataset,wandb_run_name,wandb_run_id
/Volumes/T7/Research/experiments/results/coco/B0/B0_coco_456/best_model.pth,coco,B0_coco_s456,3ofk2x76
/Volumes/T7/Research/experiments/results/coco/B0/B0_coco_s42/best_model.pth,coco,B0_coco_s42,labvhhp5
/Volumes/T7/Research/experiments/results/coco/B1/B1_coco_s42/best_model.pth,coco,B1_coco_s42,qdhmz3qy
/Volumes/T7/Research/experiments/results/coco/B1/B1_coco_s456/best_model.pth,coco,B1_coco_s456,r90ns51s
/Volumes/T7/Research/experiments/results/coco/B2/B2_coco_s456/best_model.pth,coco,B2_coco_s456,q3em27cf
/Volumes/T7/Research/experiments/results/coco/B4/B4_coco_s123/best_model.pth,coco,B4_coco_s123,3jn8gqvn
/Volumes/T7/Research/experiments/results/coco/B5_seg/B5_seg_coco_s123/best_model.pth,coco,B5_seg_coco_s123,eyj076tx
/Volumes/T7/Research/experiments/results/coco/B5_seg/B5_seg_coco_s42/best_model.pth,coco,B5_seg_coco_s42,36ecp2me
/Volumes/T7/Research/experiments/results/flickr30k/B0/B0_flickr30k_s123/best_model.pth,flickr30k,B0_flickr30k_s123,rpvwsyew
/Volumes/T7/Research/experiments/results/flickr30k/B0/B0_flickr30k_s42/best_model.pth,flickr30k,B0_flickr30k_s42,f5iqtxq3
/Volumes/T7/Research/experiments/results/flickr30k/B0/B0_flickr30k_s456/best_model.pth,flickr30k,B0_flickr30k_s456,odmujgic
/Volumes/T7/Research/experiments/results/flickr30k/B0_proj1024_flickr30k_s42/best_model.pth,flickr30k,B0_proj1024_flickr30k_s42,1bh6xj43
/Volumes/T7/Research/experiments/results/flickr30k/B0plus/B0plus_flickr30k_s123/best_model.pth,flickr30k,B0plus_flickr30k_s123,xg1botcw
/Volumes/T7/Research/experiments/results/flickr30k/B0plus/B0plus_flickr30k_s42/best_model.pth,flickr30k,B0plus_flickr30k_s42,ycfk1cuw
/Volumes/T7/Research/experiments/results/flickr30k/B0plus/B0plus_flickr30k_s456/best_model.pth,flickr30k,B0plus_flickr30k_s456,xbnhs4t6
/Volumes/T7/Research/experiments/results/flickr30k/B1/B1_flickr30k_s42/best_model.pth,flickr30k,B1_flickr30k_s42,cftocpij
/Volumes/T7/Research/experiments/results/flickr30k/B1/B1_flickr30k_s456/best_model.pth,flickr30k,B1_flickr30k_s456,vovoxx9d
/Volumes/T7/Research/experiments/results/flickr30k/B2/B2_flickr30k_s123/best_model.pth,flickr30k,B2_flickr30k_s123,kibcvdfg
/Volumes/T7/Research/experiments/results/flickr30k/B2/B2_flickr30k_s42/best_model.pth,flickr30k,B2_flickr30k_s42,knjkc4hw
/Volumes/T7/Research/experiments/results/flickr30k/B2/B2_flickr30k_s456/best_model.pth,flickr30k,B2_flickr30k_s456,lrh4rmnw
/Volumes/T7/Research/experiments/results/flickr30k/B5_seg/B5_seg_flickr30k_s123/best_model.pth,flickr30k,B5_seg_flickr30k_s123,9vwhxucw
/Volumes/T7/Research/experiments/results/flickr30k/B5_seg/B5_seg_flickr30k_s42/best_model.pth,flickr30k,B5_seg_flickr30k_s42,sxw9jben
/Volumes/T7/Research/experiments/results/flickr30k/BLIP_TEXT_flickr30k_s42/best_model.pth,flickr30k,BLIP_TEXT_flickr30k_s42,eqczjsx2
